,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
21,2021-01-26 00:00:00-05:00,125.11050492095947,15.951530576754053,-1.0,2021-01-27 00:00:00-05:00,122.86082860565185,35.88578053142896
22,2021-01-27 00:00:00-05:00,122.86082860565185,16.24881316967154,1.0,2021-02-04 00:00:00-05:00,122.72663781738281,-2.1804410476745475
23,2021-02-05 00:00:00-05:00,121.09490428924559,16.484750061802803,1.0,2021-03-09 00:00:00-05:00,117.08703465270996,-66.06872923857831
24,2021-03-10 00:00:00-05:00,117.04261538696288,17.043530020168355,1.0,2021-04-01 00:00:00-04:00,116.64179399871826,-6.8314113632727835
25,2021-04-01 00:00:00-04:00,116.64179399871826,17.100243199589684,-1.0,2021-04-06 00:00:00-04:00,119.38476079559325,-46.90539931496194
26,2021-04-07 00:00:00-04:00,120.6301913833618,16.526411767538836,1.0,2021-04-08 00:00:00-04:00,123.5336303100586,47.98342724449221
27,2021-04-08 00:00:00-04:00,123.5336303100586,16.14510295617714,-1.0,2021-04-09 00:00:00-04:00,124.34789463043211,-13.146381285971934
28,2021-04-12 00:00:00-04:00,123.05600802612304,16.204980502880908,1.0,2021-04-14 00:00:00-04:00,126.12156255340577,49.677251345134906
29,2021-04-15 00:00:00-04:00,129.1175945892334,15.451286897389897,-1.0,2021-04-16 00:00:00-04:00,129.46904612731933,-5.430378545494801
30,2021-04-19 00:00:00-04:00,129.68280642700194,15.382490053711429,1.0,2021-04-21 00:00:00-04:00,131.6220303955078,29.830093407460367
31,2021-04-22 00:00:00-04:00,133.3380403289795,14.964676896141201,-1.0,2021-04-23 00:00:00-04:00,133.78156661987302,-6.637227638165397
32,2021-04-26 00:00:00-04:00,133.11238003540038,14.988448101012475,1.0,2021-05-06 00:00:00-04:00,131.40869718933106,-25.535561918895123
33,2021-05-10 00:00:00-04:00,129.6735198059082,15.381382384785404,1.0,2021-05-14 00:00:00-04:00,130.87948754882814,18.54945099756815
34,2021-05-17 00:00:00-04:00,129.76226202392576,15.373104613875359,1.0,2021-05-20 00:00:00-04:00,132.15226135253906,36.741709705864125
35,2021-05-21 00:00:00-04:00,132.11454176330565,15.104341337449368,1.0,2021-05-24 00:00:00-04:00,133.34961016845702,18.654894766505453
36,2021-05-25 00:00:00-04:00,133.18201441955566,14.985477189273427,1.0,2021-06-07 00:00:00-04:00,132.84992724609376,-4.976484762763596
37,2021-06-09 00:00:00-04:00,132.2278904724121,15.09225300327222,1.0,2021-06-10 00:00:00-04:00,133.83045208740234,24.186265346765172
38,2021-06-11 00:00:00-04:00,135.3012088623047,14.75241951489506,-1.0,2021-06-15 00:00:00-04:00,136.24281141662595,-13.890915897644051
39,2021-06-15 00:00:00-04:00,136.24281141662595,14.647835260551517,1.0,2021-06-29 00:00:00-04:00,134.66011170959473,-23.183124575516526
