,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
0,2020-07-28 00:00:00-04:00,90.85749799346922,22.012492575392717,1.0,2020-07-31 00:00:00-04:00,103.32408560943604,274.4206673369523
1,2020-07-31 00:00:00-04:00,103.32408560943604,19.408862058685855,-1.0,2020-08-07 00:00:00-04:00,108.45401828002929,-99.56615557389031
2,2020-08-11 00:00:00-04:00,106.75808728790282,18.765130073745812,1.0,2020-08-12 00:00:00-04:00,110.08571168518067,62.44330465148876
3,2020-08-13 00:00:00-04:00,112.03397966766357,17.8918653463805,-1.0,2020-08-17 00:00:00-04:00,111.86539286041258,3.0163324545109
4,2020-08-20 00:00:00-04:00,115.21448128509522,17.39778770147429,-1.0,2020-08-27 00:00:00-04:00,122.01899945831298,-118.38356258846622
5,2020-08-31 00:00:00-04:00,125.70090971374512,15.926908342081868,-1.0,2020-09-03 00:00:00-04:00,117.98779637908935,122.84604911315192
6,2020-09-03 00:00:00-04:00,117.98779637908935,16.988249851837274,1.0,2020-09-14 00:00:00-04:00,112.374901222229,-95.35326531691094
7,2020-09-16 00:00:00-04:00,109.44716741943358,18.295775734370558,1.0,2020-09-22 00:00:00-04:00,108.91674632263184,-9.704465431863596
8,2020-09-23 00:00:00-04:00,104.55704353332519,19.148847080564234,1.0,2020-09-25 00:00:00-04:00,109.37460861968994,92.25081713946386
9,2020-09-25 00:00:00-04:00,109.37460861968994,18.321527716147877,-1.0,2020-10-02 00:00:00-04:00,110.31586361694335,-17.245229520141034
10,2020-10-02 00:00:00-04:00,110.31586361694335,18.161345537151174,1.0,2020-10-05 00:00:00-04:00,113.48541526794433,57.563322731676905
11,2020-10-06 00:00:00-04:00,110.45252052307127,18.148562691833952,1.0,2020-10-09 00:00:00-04:00,113.94326232147216,63.35194636928375
12,2020-10-09 00:00:00-04:00,113.94326232147216,17.6029722339694,-1.0,2020-10-15 00:00:00-04:00,117.8218667602539,-68.27496624242536
13,2020-10-15 00:00:00-04:00,117.8218667602539,17.011213992591454,1.0,2020-10-27 00:00:00-04:00,113.58282904815674,-72.11117764315003
14,2020-10-28 00:00:00-04:00,108.53940784454345,18.45202655136019,1.0,2020-10-29 00:00:00-04:00,112.33593875885009,70.05368923384597
15,2020-10-30 00:00:00-04:00,106.25538782501219,18.861082136807624,1.0,2020-11-04 00:00:00-05:00,111.97552072906494,107.88789653679478
16,2020-11-04 00:00:00-05:00,111.97552072906494,17.916121494169467,-1.0,2020-11-09 00:00:00-05:00,113.73279795074461,-31.483592202549577
17,2020-11-10 00:00:00-05:00,113.39056763458251,17.68627256563744,1.0,2020-11-11 00:00:00-05:00,116.59886059570313,56.74274378079533
18,2020-11-11 00:00:00-05:00,116.59886059570313,17.20865861868323,-1.0,2020-11-13 00:00:00-05:00,116.60741194152831,-0.1471571910358671
19,2020-11-16 00:00:00-05:00,117.38926050567628,17.092081270376642,-1.0,2020-11-17 00:00:00-05:00,116.7344920196533,11.191356176386138
20,2020-11-18 00:00:00-05:00,115.40474868774413,17.387244437758113,1.0,2020-11-27 00:00:00-05:00,113.76901352691651,-28.44092707674544
21,2020-11-30 00:00:00-05:00,116.16950370025634,17.26720006776997,-1.0,2020-12-04 00:00:00-05:00,119.530902885437,-58.04195223815339
22,2020-12-07 00:00:00-05:00,120.75577130126953,16.60110985832857,-1.0,2020-12-09 00:00:00-05:00,119.07133733367918,27.963473345067687
23,2020-12-09 00:00:00-05:00,119.07133733367918,16.83998443154943,1.0,2020-12-10 00:00:00-05:00,120.25810814666748,19.985202014540228
24,2020-12-11 00:00:00-05:00,119.68733204650877,16.755980191130007,1.0,2020-12-15 00:00:00-05:00,124.78584059143067,85.4305081830184
25,2020-12-15 00:00:00-05:00,124.78584059143067,16.084398981475736,-1.0,2020-12-18 00:00:00-05:00,123.84282005310057,15.167918586227408
26,2020-12-21 00:00:00-05:00,125.1273642654419,16.04228328963528,-1.0,2020-12-30 00:00:00-05:00,130.74577323913573,-90.13210839302546
27,2020-12-31 00:00:00-05:00,129.73870944213866,15.457560010422167,1.0,2021-01-07 00:00:00-05:00,127.75226206970216,-30.70562946698265
28,2021-01-07 00:00:00-05:00,127.75226206970216,15.692482764419136,-1.0,2021-01-11 00:00:00-05:00,126.11121472167967,25.752107224438536
29,2021-01-11 00:00:00-05:00,126.11121472167967,15.900136575874685,1.0,2021-01-13 00:00:00-05:00,127.72303260040283,25.62812440713484
30,2021-01-13 00:00:00-05:00,127.72303260040283,15.702863763054596,-1.0,2021-01-14 00:00:00-05:00,126.04277935028075,26.38478787409669
31,2021-01-14 00:00:00-05:00,126.04277935028075,15.915750108233903,1.0,2021-01-20 00:00:00-05:00,128.8354216003418,44.4469961936675
32,2021-01-20 00:00:00-05:00,128.8354216003418,15.577029690488432,-1.0,2021-01-28 00:00:00-05:00,134.0408130340576,-81.08453691360543
